P3, tp=0, ts=0
P0, tp=10, ts=10, x0=15268353
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=58191638
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=739044663
P0, tp=10, ts=10, x0=873379346
P1, tp=10, ts=10, x0=327291409
P1, tp=10, ts=10, x0=966231251
P2, tp=10, ts=10, x0=939342317
P0, tp=10, ts=10, x0=684086643
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=976008645
P0, tp=10, ts=10, x0=835491395
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=467346431
P0, tp=10, ts=10, x0=35950885
P2, tp=10, ts=10, x0=780571848
P2, tp=10, ts=10, x0=615192788
P0, tp=10, ts=10, x0=104134167
P0, tp=10, ts=10, x0=440332488
P0, tp=10, ts=10, x0=86150724
P3, tp=10, ts=10
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=271862780
P1, tp=10, ts=10, x0=387069668
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=835491395
P0, tp=10, ts=10, x0=208713609
P1, tp=10, ts=10, x0=208713609
P0, tp=10, ts=10, x0=873379346
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=615641913
P0, tp=10, ts=10, x0=966231251
P2, tp=10, ts=10, x0=188878972
P0, tp=10, ts=10, x0=939342317
P2, tp=10, ts=10, x0=429758646
P1, tp=10, ts=10, x0=900855224
P1, tp=10, ts=10, x0=467346431
P2, tp=10, ts=10, x0=86150724
P1, tp=10, ts=10, x0=153948877
P2, tp=10, ts=10, x0=623074554
P2, tp=10, ts=10, x0=656084837
P0, tp=10, ts=10, x0=365908620
P2, tp=10, ts=10, x0=354878282
P2, tp=10, ts=10, x0=467346431
P1, tp=10, ts=10, x0=869751904
P2, tp=10, ts=10, x0=308581288
P2, tp=10, ts=10, x0=590344382
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=805340070
P3, tp=10, ts=10
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=496702222
P3, tp=10, ts=10
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=873379346
P1, tp=10, ts=10, x0=58191638
P2, tp=10, ts=10, x0=397341233
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=918798986
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=572270637
P3, tp=10, ts=10
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=58191638
P1, tp=10, ts=10, x0=923296263
P1, tp=10, ts=10, x0=792718462
P0, tp=10, ts=10, x0=973370573
P2, tp=10, ts=10, x0=354878282
P0, tp=10, ts=10, x0=208713609
P1, tp=10, ts=10, x0=844509151
P2, tp=10, ts=10, x0=23866347
P1, tp=10, ts=10, x0=172972170
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=208713609
P2, tp=10, ts=10, x0=823920997
P2, tp=10, ts=10, x0=308581288
P1, tp=10, ts=10, x0=844509151
P1, tp=10, ts=10, x0=15268353
P0, tp=10, ts=10, x0=765488374
P1, tp=10, ts=10, x0=721878378
P2, tp=10, ts=10, x0=792718462
P0, tp=10, ts=10, x0=85177655
P2, tp=10, ts=10, x0=765488374
P0, tp=10, ts=10, x0=23866347
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=302023083
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=721878378
P2, tp=10, ts=10, x0=213028520
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=438415994
P1, tp=10, ts=10, x0=556594
P1, tp=10, ts=10, x0=302023083
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=844509151
P2, tp=10, ts=10, x0=500231923
P1, tp=10, ts=10, x0=615192788
P0, tp=10, ts=10, x0=218080949
P0, tp=10, ts=10, x0=634250098
P0, tp=10, ts=10, x0=939342317
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=500231923
P0, tp=10, ts=10, x0=554526673
P0, tp=10, ts=10, x0=35950885
P2, tp=10, ts=10, x0=623074554
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=85177655
P0, tp=10, ts=10, x0=896711618
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=615641913
P1, tp=10, ts=10, x0=429758646
P0, tp=10, ts=10, x0=556594
P1, tp=10, ts=10, x0=835491395
P0, tp=10, ts=10, x0=900855224
P2, tp=10, ts=10, x0=208523542
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=329515871
P1, tp=10, ts=10, x0=608727628
P1, tp=10, ts=10, x0=211626171
P0, tp=10, ts=10, x0=554526673
P0, tp=10, ts=10, x0=572270637
P2, tp=10, ts=10, x0=94798672
P1, tp=10, ts=10, x0=418892856
P2, tp=10, ts=10, x0=697358937
P1, tp=10, ts=10, x0=656084837
P1, tp=10, ts=10, x0=329515871
P0, tp=10, ts=10, x0=489243614
P0, tp=10, ts=10, x0=969430043
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=652736925
P0, tp=10, ts=10, x0=85177655
P2, tp=10, ts=10, x0=553592147
P1, tp=10, ts=10, x0=866262004
P2, tp=10, ts=10, x0=607238254
P1, tp=10, ts=10, x0=960775700
P1, tp=10, ts=10, x0=973370573
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=397341233
P3, tp=10, ts=10
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=918798986
P3, tp=10, ts=10
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=45951975
P2, tp=10, ts=10, x0=721878378
P0, tp=10, ts=10, x0=826144711
P2, tp=10, ts=10, x0=849540748
P2, tp=10, ts=10, x0=697358937
P3, tp=10, ts=10
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=505076929
P0, tp=10, ts=10, x0=15268353
P0, tp=10, ts=10, x0=869751904
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=500231923
P2, tp=10, ts=10, x0=554526673
P1, tp=10, ts=10, x0=213028520
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=932609710
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=554526673
P0, tp=10, ts=10, x0=354878282
P0, tp=10, ts=10, x0=960775700
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=572270637
P1, tp=10, ts=10, x0=544701979
P3, tp=10, ts=10
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=218664606
P2, tp=10, ts=10, x0=85177655
P1, tp=10, ts=10, x0=698002299
P0, tp=10, ts=10, x0=15268353
P2, tp=10, ts=10, x0=726788942
P3, tp=10, ts=10
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=208523542
P1, tp=10, ts=10, x0=467346431
P2, tp=10, ts=10, x0=440332488
P0, tp=10, ts=10, x0=823920997
P0, tp=10, ts=10, x0=188878972
P2, tp=10, ts=10, x0=361307135
P0, tp=10, ts=10, x0=380238356
P1, tp=10, ts=10, x0=634250098
P1, tp=10, ts=10, x0=752075541
P1, tp=10, ts=10, x0=896711618
P2, tp=10, ts=10, x0=805340070
P1, tp=10, ts=10, x0=15268353
P3, tp=10, ts=10
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=429758646
P2, tp=10, ts=10, x0=505076929
P2, tp=10, ts=10, x0=861201589
P0, tp=10, ts=10, x0=103640011
P3, tp=10, ts=10
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=739044663
P2, tp=10, ts=10, x0=656084837
P0, tp=10, ts=10, x0=869751904
P0, tp=10, ts=10, x0=792718462
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=486403572
P2, tp=10, ts=10, x0=486403572
P1, tp=10, ts=10, x0=429758646
P1, tp=10, ts=10, x0=822678545
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=329515871
P1, tp=10, ts=10, x0=896711618
P0, tp=10, ts=10, x0=554526673
P2, tp=10, ts=10, x0=327291409
P0, tp=10, ts=10, x0=302023083
P1, tp=10, ts=10, x0=823620660
P0, tp=10, ts=10, x0=697358937
P2, tp=10, ts=10, x0=656084837
P1, tp=10, ts=10, x0=772740171
P0, tp=10, ts=10, x0=607238254
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=376702113
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=780571848
P2, tp=10, ts=10, x0=923296263
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=765488374
P1, tp=10, ts=10, x0=15268353
P0, tp=10, ts=10, x0=85177655
P2, tp=10, ts=10, x0=500231923
P2, tp=10, ts=10, x0=923296263
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=172972170
P1, tp=10, ts=10, x0=554526673
P2, tp=10, ts=10, x0=367241594
P2, tp=10, ts=10, x0=64671997
P2, tp=10, ts=10, x0=153948877
P1, tp=10, ts=10, x0=64671997
P1, tp=10, ts=10, x0=835491395
P2, tp=10, ts=10, x0=932609710
P0, tp=10, ts=10, x0=440332488
P3, tp=10, ts=10
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=590344382
P1, tp=10, ts=10, x0=329515871
P0, tp=10, ts=10, x0=939342317
P0, tp=10, ts=10, x0=94798672
P1, tp=10, ts=10, x0=188878972
P2, tp=10, ts=10, x0=438415994
P2, tp=10, ts=10, x0=822678545
P1, tp=10, ts=10, x0=94798672
P1, tp=10, ts=10, x0=572270637
P1, tp=10, ts=10, x0=932609710
P2, tp=10, ts=10, x0=937242680
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=11998615
P0, tp=10, ts=10, x0=104134167
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=607238254
P2, tp=10, ts=10, x0=849540748
P0, tp=10, ts=10, x0=329515871
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=31101094
P1, tp=10, ts=10, x0=462716944
P2, tp=10, ts=10, x0=229122669
P1, tp=10, ts=10, x0=792718462
P0, tp=10, ts=10, x0=45951975
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=4422628
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=297574515
P1, tp=10, ts=10, x0=752075541
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=462716944
P2, tp=10, ts=10, x0=932609710
P0, tp=10, ts=10, x0=380238356
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=367241594
P0, tp=10, ts=10, x0=387069668
P2, tp=10, ts=10, x0=861201589
P2, tp=10, ts=10, x0=553592147
P0, tp=10, ts=10, x0=792718462
P2, tp=10, ts=10, x0=418892856
P2, tp=10, ts=10, x0=213028520
P0, tp=10, ts=10, x0=127402887
P1, tp=10, ts=10, x0=365908620
P0, tp=10, ts=10, x0=589230931
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=453032614
P0, tp=10, ts=10, x0=656084837
P0, tp=10, ts=10, x0=849540748
P1, tp=10, ts=10, x0=127402887
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=867069593
P0, tp=10, ts=10, x0=835491395
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=772740171
P0, tp=10, ts=10, x0=365908620
P0, tp=10, ts=10, x0=937242680
P0, tp=10, ts=10, x0=31101094
P1, tp=10, ts=10, x0=123079245
P1, tp=10, ts=10, x0=867069593
P0, tp=10, ts=10, x0=634250098
P2, tp=10, ts=10, x0=792718462
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=589230931
P1, tp=10, ts=10, x0=520570224
P0, tp=10, ts=10, x0=329515871
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=700816526
P1, tp=10, ts=10, x0=752075541
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=271862780
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=354878282
P0, tp=10, ts=10, x0=772740171
P2, tp=10, ts=10, x0=822678545
P1, tp=10, ts=10, x0=218664606
P0, tp=10, ts=10, x0=85177655
P2, tp=10, ts=10, x0=365908620
P0, tp=10, ts=10, x0=752075541
P2, tp=10, ts=10, x0=100024140
P2, tp=10, ts=10, x0=58191638
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=867069593
P2, tp=10, ts=10, x0=939342317
P0, tp=10, ts=10, x0=861201589
P0, tp=10, ts=10, x0=658754500
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=721878378
P1, tp=10, ts=10, x0=479130700
P2, tp=10, ts=10, x0=462716944
P1, tp=10, ts=10, x0=365908620
P2, tp=10, ts=10, x0=866262004
P2, tp=10, ts=10, x0=311315550
P1, tp=10, ts=10, x0=822678545
P1, tp=10, ts=10, x0=64671997
P2, tp=10, ts=10, x0=172972170
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=844509151
P2, tp=10, ts=10, x0=387069668
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=94798672
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=835491395
P0, tp=10, ts=10, x0=923296263
P1, tp=10, ts=10, x0=656084837
P2, tp=10, ts=10, x0=300985657
P2, tp=10, ts=10, x0=939342317
P0, tp=10, ts=10, x0=849540748
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=23866347
P0, tp=10, ts=10, x0=31101094
P1, tp=10, ts=10, x0=634250098
P2, tp=10, ts=10, x0=822678545
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=728784872
P2, tp=10, ts=10, x0=438415994
P3, tp=10, ts=10
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=765488374
P2, tp=10, ts=10, x0=127402887
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=759729708
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=607238254
P0, tp=10, ts=10, x0=896711618
P1, tp=10, ts=10, x0=700816526
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=844509151
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=85177655
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=23866347
P1, tp=10, ts=10, x0=85177655
P1, tp=10, ts=10, x0=544701979
P2, tp=10, ts=10, x0=479130700
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=634250098
P2, tp=10, ts=10, x0=58191638
P1, tp=10, ts=10, x0=337918436
P2, tp=10, ts=10, x0=380238356
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=960775700
P0, tp=10, ts=10, x0=638256551
P0, tp=10, ts=10, x0=213028520
P3, tp=10, ts=10
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=104134167
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=765488374
P2, tp=10, ts=10, x0=500231923
P0, tp=10, ts=10, x0=343051751
P2, tp=10, ts=10, x0=85177655
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=698002299
P1, tp=10, ts=10, x0=302023083
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=728784872
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=960775700
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=311315550
P2, tp=10, ts=10, x0=918798986
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=867069593
P1, tp=10, ts=10, x0=932609710
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=721878378
P1, tp=10, ts=10, x0=590344382
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=123079245
P0, tp=10, ts=10, x0=123079245
P0, tp=10, ts=10, x0=23866347
P1, tp=10, ts=10, x0=343051751
P2, tp=10, ts=10, x0=4422628
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=700816526
P0, tp=10, ts=10, x0=84296557
P2, tp=10, ts=10, x0=11998615
P2, tp=10, ts=10, x0=939342317
P1, tp=10, ts=10, x0=772740171
P3, tp=10, ts=10
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=721878378
P1, tp=10, ts=10, x0=23866347
P0, tp=10, ts=10, x0=343051751
P2, tp=10, ts=10, x0=759729708
P2, tp=10, ts=10, x0=308581288
P1, tp=10, ts=10, x0=172972170
P0, tp=10, ts=10, x0=792718462
P2, tp=10, ts=10, x0=726788942
P0, tp=10, ts=10, x0=918798986
P1, tp=10, ts=10, x0=923296263
P0, tp=10, ts=10, x0=918798986
P1, tp=10, ts=10, x0=64671997
P0, tp=10, ts=10, x0=31101094
P0, tp=10, ts=10, x0=311315550
P3, tp=10, ts=10
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=208944190
P1, tp=10, ts=10, x0=23866347
P0, tp=10, ts=10, x0=143046583
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=826144711
P0, tp=10, ts=10, x0=966231251
P2, tp=10, ts=10, x0=297574515
P2, tp=10, ts=10, x0=208944190
P1, tp=10, ts=10, x0=939342317
P0, tp=10, ts=10, x0=849540748
P0, tp=10, ts=10, x0=867069593
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=698002299
P1, tp=10, ts=10, x0=765488374
P1, tp=10, ts=10, x0=697358937
P2, tp=10, ts=10, x0=805340070
P1, tp=10, ts=10, x0=739044663
P0, tp=10, ts=10, x0=440332488
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=218664606
P0, tp=10, ts=10, x0=418892856
P1, tp=10, ts=10, x0=45951975
P1, tp=10, ts=10, x0=544071605
P0, tp=10, ts=10, x0=873379346
P2, tp=10, ts=10, x0=849540748
P2, tp=10, ts=10, x0=337918436
P1, tp=10, ts=10, x0=208713609
P0, tp=10, ts=10, x0=58191638
P1, tp=10, ts=10, x0=589230931
P1, tp=10, ts=10, x0=172972170
P1, tp=10, ts=10, x0=823920997
P0, tp=10, ts=10, x0=909716971
P1, tp=10, ts=10, x0=204699496
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=218664606
P2, tp=10, ts=10, x0=554526673
P2, tp=10, ts=10, x0=792718462
P0, tp=10, ts=10, x0=532902732
P2, tp=10, ts=10, x0=440332488
P0, tp=10, ts=10, x0=172972170
P0, tp=10, ts=10, x0=939342317
P1, tp=10, ts=10, x0=15268353
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=208713609
P0, tp=10, ts=10, x0=429758646
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=271862780
P0, tp=10, ts=10, x0=759729708
P1, tp=10, ts=10, x0=387069668
P0, tp=10, ts=10, x0=923296263
P1, tp=10, ts=10, x0=103640011
P1, tp=10, ts=10, x0=698002299
P2, tp=10, ts=10, x0=721878378
P0, tp=10, ts=10, x0=311315550
P2, tp=10, ts=10, x0=45951975
P0, tp=10, ts=10, x0=188878972
P1, tp=10, ts=10, x0=343051751
P2, tp=10, ts=10, x0=923296263
P0, tp=10, ts=10, x0=966231251
P0, tp=10, ts=10, x0=447867249
P1, tp=10, ts=10, x0=765488374
P2, tp=10, ts=10, x0=387069668
P2, tp=10, ts=10, x0=85177655
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=64671997
P0, tp=10, ts=10, x0=500231923
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=311315550
P0, tp=10, ts=10, x0=563026621
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=387069668
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=844293749
P0, tp=10, ts=10, x0=932609710
P2, tp=10, ts=10, x0=900855224
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=15268353
P2, tp=10, ts=10, x0=213028520
P1, tp=10, ts=10, x0=123079245
P2, tp=10, ts=10, x0=266747719
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=491940098
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=556594
P2, tp=10, ts=10, x0=615192788
P2, tp=10, ts=10, x0=85177655
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=45951975
P1, tp=10, ts=10, x0=826144711
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=208713609
P1, tp=10, ts=10, x0=500231923
P2, tp=10, ts=10, x0=311315550
P1, tp=10, ts=10, x0=772499901
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=544071605
P2, tp=10, ts=10, x0=118954638
P1, tp=10, ts=10, x0=337918436
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=486403572
P0, tp=10, ts=10, x0=343051751
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=658754500
P2, tp=10, ts=10, x0=844509151
P0, tp=10, ts=10, x0=208713609
P1, tp=10, ts=10, x0=64671997
P1, tp=10, ts=10, x0=678384546
P2, tp=10, ts=10, x0=143046583
P2, tp=10, ts=10, x0=932609710
P2, tp=10, ts=10, x0=153948877
P2, tp=10, ts=10, x0=994839436
P0, tp=10, ts=10, x0=726788942
P2, tp=10, ts=10, x0=844509151
P2, tp=10, ts=10, x0=172972170
P1, tp=10, ts=10, x0=58191638
P2, tp=10, ts=10, x0=104134167
P1, tp=10, ts=10, x0=213028520
P2, tp=10, ts=10, x0=58191638
P0, tp=10, ts=10, x0=658754500
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=354878282
P1, tp=10, ts=10, x0=31101094
P3, tp=10, ts=10
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=545902714
P0, tp=10, ts=10, x0=739044663
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=496702222
P3, tp=10, ts=10
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=208944190
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=555070484
P2, tp=10, ts=10, x0=721878378
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=909716971
P2, tp=10, ts=10, x0=489243614
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=823920997
P2, tp=10, ts=10, x0=94798672
P0, tp=10, ts=10, x0=960775700
P0, tp=10, ts=10, x0=266747719
P1, tp=10, ts=10, x0=11998615
P2, tp=10, ts=10, x0=544071605
P3, tp=10, ts=10
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=771351668
P2, tp=10, ts=10, x0=589230931
P0, tp=10, ts=10, x0=826144711
P2, tp=10, ts=10, x0=208944190
P2, tp=10, ts=10, x0=496702222
P2, tp=10, ts=10, x0=486403572
P0, tp=10, ts=10, x0=544071605
P0, tp=10, ts=10, x0=489243614
P2, tp=10, ts=10, x0=634250098
P0, tp=10, ts=10, x0=966231251
P2, tp=10, ts=10, x0=835491395
P3, tp=10, ts=10
P1, tp=10, ts=10, x0=923296263
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=496702222
P1, tp=10, ts=10, x0=545902714
P1, tp=10, ts=10, x0=213028520
P2, tp=10, ts=10, x0=966231251
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=590344382
P2, tp=10, ts=10, x0=143046583
P1, tp=10, ts=10, x0=835491395
P0, tp=10, ts=10, x0=525692958
P2, tp=10, ts=10, x0=302023083
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=208944190
P2, tp=10, ts=10, x0=172972170
P3, tp=10, ts=10
P3, tp=10, ts=10
P0, tp=10, ts=10, x0=397341233
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P3, tp=10, ts=10
P2, tp=10, ts=10, x0=100024140
P0, tp=10, ts=10, x0=554526673
>WATERMARK 10<
P2, tp=11, ts=11, x0=143046583
P0, tp=11, ts=11, x0=11998615
P3, tp=11, ts=11
P3, tp=11, ts=11
P3, tp=11, ts=11
P3, tp=11, ts=11
P1, tp=11, ts=11, x0=994839436
P2, tp=11, ts=11, x0=544071605
P0, tp=11, ts=11, x0=900855224
P2, tp=11, ts=11, x0=453032614
P2, tp=11, ts=11, x0=204699496
P1, tp=11, ts=11, x0=966231251
P0, tp=11, ts=11, x0=343051751
P0, tp=11, ts=11, x0=939342317
P3, tp=11, ts=11
P1, tp=11, ts=11, x0=271862780
P3, tp=11, ts=11
P2, tp=11, ts=11, x0=31101094
P1, tp=11, ts=11, x0=951760062
P3, tp=11, ts=11
P1, tp=11, ts=11, x0=491940098
P3, tp=11, ts=11
P0, tp=11, ts=11, x0=58191638
P0, tp=11, ts=11, x0=771351668
P0, tp=11, ts=11, x0=343051751
P1, tp=11, ts=11, x0=397341233
P0, tp=11, ts=11, x0=31101094
P0, tp=11, ts=11, x0=343051751
P3, tp=11, ts=11
P0, tp=11, ts=11, x0=545902714
P0, tp=11, ts=11, x0=94798672
P1, tp=11, ts=11, x0=772740171
P3, tp=11, ts=11
P1, tp=11, ts=11, x0=438415994
P3, tp=11, ts=11
P2, tp=11, ts=11, x0=792718462
P3, tp=11, ts=11
P0, tp=11, ts=11, x0=909716971
P2, tp=11, ts=11, x0=127402887
P0, tp=11, ts=11, x0=11998615
P3, tp=11, ts=11
P2, tp=11, ts=11, x0=100024140
P3, tp=11, ts=11
P1, tp=11, ts=11, x0=15268353
P0, tp=11, ts=11, x0=556594
P1, tp=11, ts=11, x0=88574637
P3, tp=11, ts=11
P2, tp=11, ts=11, x0=555070484
P3, tp=11, ts=11
P2, tp=11, ts=11, x0=64671997
P1, tp=11, ts=11, x0=638256551
P0, tp=11, ts=11, x0=525692958
P3, tp=11, ts=11
P2, tp=11, ts=11, x0=555070484
P1, tp=11, ts=11, x0=467346431
P2, tp=11, ts=11, x0=31101094
P2, tp=11, ts=11, x0=11998615
P2, tp=11, ts=11, x0=103640011
P3, tp=11, ts=11
P3, tp=11, ts=11
P2, tp=11, ts=11, x0=365908620
P1, tp=11, ts=11, x0=311315550
P0, tp=11, ts=11, x0=176147209
P1, tp=11, ts=11, x0=652736925
P1, tp=11, ts=11, x0=226579847
P1, tp=11, ts=11, x0=438415994
P3, tp=11, ts=11
P0, tp=11, ts=11, x0=771351668
P2, tp=11, ts=11, x0=103640011
P0, tp=11, ts=11, x0=615641913
P3, tp=11, ts=11
P1, tp=11, ts=11, x0=297574515
P3, tp=11, ts=11
P0, tp=11, ts=11, x0=951760062
P0, tp=11, ts=11, x0=118954638
P3, tp=11, ts=11
P2, tp=11, ts=11, x0=337918436
P0, tp=11, ts=11, x0=64671997
P0, tp=11, ts=11, x0=188878972
P3, tp=11, ts=11
P0, tp=11, ts=11, x0=226579847
P0, tp=11, ts=11, x0=56446158
P0, tp=11, ts=11, x0=577097142
P2, tp=11, ts=11, x0=759729708
P2, tp=11, ts=11, x0=615192788
P0, tp=11, ts=11, x0=343051751
P2, tp=11, ts=11, x0=844509151
P2, tp=11, ts=11, x0=763285467
P2, tp=11, ts=11, x0=283849757
P3, tp=11, ts=11
P1, tp=11, ts=11, x0=453032614
P1, tp=11, ts=11, x0=849540748
P0, tp=11, ts=11, x0=500231923
P2, tp=11, ts=11, x0=771351668
P3, tp=11, ts=11
P3, tp=11, ts=11
P1, tp=11, ts=11, x0=918798986
P3, tp=11, ts=11
P1, tp=11, ts=11, x0=634250098
P0, tp=11, ts=11, x0=64671997
P1, tp=11, ts=11, x0=56446158
P2, tp=11, ts=11, x0=64671997
P0, tp=11, ts=11, x0=85177655
P1, tp=11, ts=11, x0=951760062
P3, tp=11, ts=11
P0, tp=11, ts=11, x0=593551701
P3, tp=11, ts=11
P0, tp=11, ts=11, x0=302023083
P2, tp=11, ts=11, x0=337918436
P0, tp=11, ts=11, x0=759729708
P3, tp=11, ts=11
P3, tp=11, ts=11
P1, tp=11, ts=11, x0=900855224
P0, tp=11, ts=11, x0=23866347
P0, tp=11, ts=11, x0=792718462
P0, tp=11, ts=11, x0=11998615
P3, tp=11, ts=11
P3, tp=11, ts=11
P0, tp=11, ts=11, x0=302023083
P0, tp=11, ts=11, x0=204699496
P3, tp=11, ts=11
P3, tp=11, ts=11
P2, tp=11, ts=11, x0=994839436
P2, tp=11, ts=11, x0=772499901
P1, tp=11, ts=11, x0=960775700
P3, tp=11, ts=11
P0, tp=11, ts=11, x0=601317838
